id,amount,date
1000000000000,1634.98,2025-07-29
1000000000001,285.22,2024-11-27
1000000000002,64.60,2024-07-14
1000000000003,1896.01,2024-08-26
1000000000004,703.62,2025-01-09
1000000000005,626.59,2025-03-18
1000000000006,571.18,2024-04-25
1000000000007,357.32,2024-04-03
1000000000008,1883.02,2024-10-24
1000000000009,262.64,2024-12-11
1000000000010,1730.25,2024-05-23
1000000000011,1893.74,2025-12-24
1000000000012,1394.57,2024-08-22
1000000000013,224.16,2024-06-10
1000000000014,1509.92,2025-01-30
1000000000015,1079.06,2024-03-20
1000000000016,79.28,2026-01-04
1000000000017,76.83,2026-01-15
1000000000018,240.14,2025-03-18
1000000000019,559.49,2025-08-19
1000000000020,595.33,2024-05-09
1000000000021,1292.31,2025-06-28
1000000000022,1539.37,2025-07-22
1000000000023,68.50,2024-10-06
1000000000024,1435.16,2024-06-23
1000000000025,508.88,2025-07-05
1000000000026,1830.75,2025-04-09
1000000000027,1661.71,2026-02-20
1000000000028,1793.19,2024-04-05
1000000000029,1393.49,2025-01-18
1000000000030,1072.92,2025-07-22
1000000000031,564.10,2024-12-21
1000000000032,1148.81,2025-12-29
1000000000033,1581.19,2025-04-19
1000000000034,711.70,2025-04-30
1000000000035,17.28,2025-09-24
1000000000036,1940.11,2025-07-14
1000000000037,408.74,2025-09-14
1000000000038,1785.05,2025-11-16
1000000000039,1080.83,2024-07-08
1000000000040,870.32,2025-08-18
1000000000041,710.88,2025-02-28
1000000000042,398.07,2024-11-24
1000000000043,550.99,2024-03-09
1000000000044,860.98,2025-12-01
1000000000045,261.91,2025-08-12
1000000000046,235.25,2025-11-09
1000000000047,971.73,2024-02-26
1000000000048,247.87,2025-09-04
1000000000049,918.19,2026-02-05
1000000000050,879.78,2024-06-05
1000000000051,1543.74,2025-06-24
1000000000052,676.76,2025-11-25
1000000000053,113.00,2024-09-13
1000000000054,1865.79,2025-12-28
1000000000055,1174.92,2024-03-09
1000000000056,1371.21,2025-04-10
1000000000057,320.08,2024-07-29
1000000000058,968.17,2025-12-15
1000000000059,205.25,2026-03-04
1000000000060,1411.64,2025-05-09
1000000000061,750.00,2024-03-29
1000000000062,1607.42,2025-05-30
1000000000063,1581.55,2024-09-29
1000000000064,924.98,2025-05-26
1000000000065,1476.33,2024-01-29
1000000000066,492.14,2025-05-22
1000000000067,1801.49,2024-05-08
1000000000068,178.45,2024-06-20
1000000000069,117.79,2025-11-25
1000000000070,1690.80,2025-01-15
1000000000071,583.16,2024-09-12
1000000000072,740.32,2025-12-03
1000000000073,204.61,2024-01-03
1000000000074,595.66,2025-05-08
1000000000075,258.82,2025-01-22
1000000000076,972.23,2024-05-03
1000000000077,711.15,2025-11-27
1000000000078,1159.54,2025-01-19
1000000000079,1625.42,2025-07-08
1000000000080,949.50,2024-11-01
1000000000081,416.40,2025-07-04
1000000000082,946.82,2024-12-21
1000000000083,908.71,2025-04-20
1000000000084,536.15,2025-11-13
1000000000085,1713.57,2025-10-09
1000000000086,683.04,2024-02-07
1000000000087,1794.45,2026-01-20
1000000000088,1747.75,2025-01-02
1000000000089,1656.99,2025-12-18
1000000000090,183.17,2024-07-29
1000000000091,1557.56,2024-07-05
1000000000092,1623.61,2024-02-20
1000000000093,438.08,2024-08-31
1000000000094,1365.88,2026-02-01
1000000000095,1864.25,2024-09-24
1000000000096,626.38,2026-01-18
1000000000097,418.31,2024-07-29
1000000000098,1182.16,2024-12-15
1000000000099,955.79,2025-04-06
1000000000100,690.63,2025-12-17
1000000000101,1636.45,2025-08-02
1000000000102,1759.55,2026-01-11
1000000000103,1424.18,2024-01-24
1000000000104,566.99,2025-12-21
1000000000105,1750.48,2024-01-09
1000000000106,829.50,2025-09-21
1000000000107,143.64,2024-02-15
1000000000108,586.09,2024-11-07
1000000000109,82.71,2025-11-07
1000000000110,806.94,2024-03-11
1000000000111,1026.00,2026-01-30
1000000000112,684.99,2024-12-23
1000000000113,169.84,2025-10-16
1000000000114,539.39,2024-10-06
1000000000115,1450.32,2024-07-04
